Date,Site,Bog_type,Area,Quadrat,X,Y,quadrat_size_m,avg_canopy_height_cm,bare_ground_percent,bryophyte_damage_percent,dung_presence,litter_percent,open_water_percent,damaged_bare_peat_percent,cause_damaged_peat,main_Calluna_growth_stage,Constraints,Notes,Agrostis_canina,Agrostis_capillaris,Agrostis_stolonifera,Agrostis_vinealis,Algae,Andromeda_polifolia,Anthoxanthum_odoratum,Athyrium_filix-femina,Aulacomnium_palustre,Avenella_flexuosa,Barbilophozia_floerki,Betula_pendula,Betula_pendula_canopy,Betula_pubescens,Betula_pubescens_canopy,Betula_pubescens_sapling,Betula_pubescens_seedling,Betula_species,Blechnum_spicant,Brachythecium_rutabulum,Brachythecium_species,Bryum_sp,Calliergonella_cuspidata,Calluna_vulgaris,Calluna_vulgaris_dead,Calypogeia_muelleriana,Calypogeia_species,Campylopus_atrovirens,Campylopus_flexuosus,Campylopus_introflexus,Campylopus_pyriformis,Campylopus_species,Cardamine_flexuosa,Carex_bigelowii,Carex_binervis,Carex_canescens,Carex_echinata,Carex_flacca,Carex_nigra,Carex_panicea,Carex_pulicaris,Carex_rostrata,Carex_species,Cerastium_fontanum,Chamaenerion_angustifolium,Cirsium_palustre,Cladonia_arbuscula,Cladonia_coccifera,Cladonia_crustose,Cladonia_floerkeana,Cladonia_gracilis,Cladonia_incrassata,Cladonia_portentosa,Cladonia_pyxidata,Cladonia_rangiferina,Cladonia_species,Cladonia_species_crustose,Cladonia_uncialis,Crataegus_monogyna,Dactylorhiza_fuchsii,Deschampsia_cespitosa,Dicranella_heteromalla,Dicranella_species,Dicranum_majus,Dicranum_scoparium,Dicranum_species,Diplophyllum_albicans,Drosera_anglica,Drosera_rotundifolia,Dryopteris_carthusiana,Dryopteris_dilatata,Dryopteris_filix_mas,Dryopteris_species,Empetrum_nigrum,Epilobium_lanceolatum,Epilobium_montanum,Epilobium_palustre,Epilobium_species,Equisetum_arvense,Equisetum_fluviatile,Equisetum_palustre,Erica_cinerea,Erica_tetralix,Eriophorum_angustifolium,Eriophorum_vaginatum,Euphrasia_species,Eurhynchium_praelongum,Evernia_prunastri,Exobasidium_oxycocci,Festuca_ovina,Festuca_rubra,Fruticose_lichen,Fruticose_lichen_white,Fumaria_capreolata,Galium_saxatile,Glyceria_species,Holcus_lanatus,Huperzia_species,Hylocomium_splendens,Hypnum_cupressiforme,Hypnum_jutlandicum,Hypogymnea_physodes,Ilex_aquifolium_sapling,Juncus_acutiflorus,Juncus_articulatus,Juncus_bufonius,Juncus_bulbosus,Juncus_conglomeratus,Juncus_effusus,Juncus_inflexus,Juncus_species,Juncus_squarrosus,Kindbergia_praelonga,Leucobryum_glaucum,Lichen,Liverwort,Lophocolea_bidentata,Lophozia_ventricosa,Luzula_campestris,Luzula_multiflora,Luzula_pilosa,Luzula_species,Menyanthes_trifoliata,Mnium_hornum,Molinia_caerulea,Mylia_anomala,Mylia_species,Mylia_taylorii,Myrica_gale,Nardus_stricta,Narthecium_ossifragum,Neottia_cordata,Odontoschisma_sphagni,Oxalis_acetosella,Pallavicinia_lyellii,Parmelia_species,Parmelia_sulcata,Pedicularis_species,Pedicularis_sylvatica,Peltigera_species,Persicaria_maculosa,Philonotis_fontana,Picea_sitchensis,Picea_sitchensis_canopy,Picea_sitchensis_sapling,Picea_sitchensis_seedling,Picea_species,Picea_species_canopy,Picea_species_seedling,Pinguicula_species,Pinguicula_vulgaris,Pinus_species,Pinus_species_seedling,Pinus_sylvestris,Pinus_sylvestris_seedling,Plagiothecium_undulatum,Pleurozia_purpurea,Pleurozium_schreberi,Poa_annua,Poa_trivialis,Polygala_serpyllifolia,Polygala_species,Polytrichastrum_formosum,Polygonum_aviculare,Polytrichum_commune,Polytrichum_juniperinum,Polytrichum_species,Polytrichum_strictum,Potemogeton_species,Potentilla_erecta,Pseudoscleropodium_purum,Pteridium_aquilinum,Ptilidium_ciliare,Quercus_petraea,Quercus_species,Racomitrium_lanuginosum,Ranunculus_flammula,Ranunculus_repens,Rhynchospora_alba,Rhytidiadelphus_loreus,Rhytidiadelphus_species,Rhytidiadelphus_squarrosus,Rhytidiadelphus_triquetrus,Rosa_canina,Rubus_chamaemorus,Rubus_fruticosus,Rubus_idaeus,Rumex_acetosella,Rumex_obtusifolius,Rumex_species,Salix_cinerea_seedling,Scapania_nemorea,Sorbus_aucuparia,Sorbus_aucuparia_seedling,Sphagnum_angustifolium,Sphagnum_capillifolium_sl,Sphagnum_capillifolium_subsp_capillifolium,Sphagnum_capillifolium_subsp_rubellum,Sphagnum_compactum,Sphagnum_cuspidatum,Sphagnum_denticulatum,Sphagnum_divinum,Sphagnum_fallax,Sphagnum_fimbriatum,Sphagnum_fuscum,Sphagnum_magellanicum_sl,Sphagnum_majus,Sphagnum_palustre,Sphagnum_papillosum,Sphagnum_pulchrum,Sphagnum_species,Sphagnum_squarrosum,Sphagnum_subnitens,Sphagnum_subsecundum,Sphagnum_tenellum,Stellaria_alsine,Succisa_pratensis,Thamnobryum_alopecurum,Thuidium_tamariscinum,Trichophorum_cespitosum,Trichophorum_germanicum,Trichophorum_sl,Urtica_dioica,Vaccinium_myrtillus,Vaccinium_oxycoccos,Vaccinium_vitis_idaea
2014,Airds_Moss,Blanket,A,1,263540,626414,2x2,38.75,0,0,N,3,0,0,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2014,Airds_Moss,Blanket,A,2,263524,626407,2x2,32.5,0,0,N,4,0,0,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2014,Airds_Moss,Blanket,A,3,263531,626380,2x2,32.5,0,0,N,2,0,0,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,Airds_Moss,Blanket,A,4,263531,626399,2x2,37.5,0,0,N,4,0,0,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2014,Airds_Moss,Blanket,A,5,263508,626430,2x2,30.5,0,0,N,2,0,0,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,Airds_Moss,Blanket,A,6,263550,626311,2x2,33.25,0,0,N,5,0,0,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,40,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0.5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2014,Airds_Moss,Blanket,A,7,263572,626289,2x2,33.75,0,0,N,10,0,0,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,10,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0
2014,Airds_Moss,Blanket,A,8,263542,626340,2x2,35,0,0,Y,10,0,0,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0
2014,Airds_Moss,Blanket,A,9,263576,626351,2x2,39.75,0,0,N,6,0,0,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,10,0,60,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0.5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2014,Airds_Moss,Blanket,A,10,263534,626354,2x2,47.5,0,0,Y,7,0,0,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0.5,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,10,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
